영화대표코드,영화명(국문),영화명(영문),영화명(원문),상영시간,개봉연도,관람등급,장르,감독명
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,129,20190702,12세이상관람가,액션,존 왓츠
20183867,알라딘,Aladdin,,127,20190523,전체관람가,어드벤처,가이 리치
20184047,토이 스토리 4,Toy Story 4,,99,20190620,전체관람가,애니메이션,조시 쿨리
20185353,기방도령,HOMME FATALE,,110,20190710,15세이상관람가,코미디,남대중
20183782,기생충,PARASITE,,131,20190530,15세이상관람가,드라마,봉준호
20185986,진범,The Culprit,,100,20190710,15세이상관람가,스릴러,고정욱
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,68,20190711,전체관람가,애니메이션,히라야마 미호
20199951,애나벨 집으로,Annabelle Comes Home,,105,20190626,15세이상관람가,공포(호러),게리 도버먼
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,131,20190626,청소년관람불가,액션,채드 스타헬스키
20192151,미드소마,Midsommar,,147,20190711,청소년관람불가,공포(호러),아리 애스터
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,117,20190619,15세이상관람가,액션,강윤성
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,113,20190613,전체관람가,애니메이션,로버트 페르난데스
20182585,비스트,The Beast,,130,20190626,15세이상관람가,범죄,이정호
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,,,기타,
20192022,마담 싸이코,Greta,,98,20190626,15세이상관람가,공포(호러),닐 조단
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,115,20190612,12세이상관람가,액션,F. 게리 그레이
20190885,사탄의 인형,Child's Play,,90,20190620,청소년관람불가,공포(호러),라스 클리브버그
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,113,20190605,12세이상관람가,액션,사이먼 킨버그
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,120,20190613,12세이상관람가,드라마,미미 레더
19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,87,20010728,전체관람가,애니메이션,미야자키 하야오
20191401,업사이드,The Upside,,125,20190613,12세이상관람가,코미디,닐 버거
20198291,로켓맨,Rocketman,,121,20190605,15세이상관람가,드라마,덱스터 플레처
20184889,어벤져스: 엔드게임,Avengers: Endgame,,180,20190424,12세이상관람가,액션,안소니 루소
